Topology,Freq (Hz),Range,Time Slot (s),Gain (dB),Channel Capacity (bits),BER,
RD,0.1,1,0.1,-11.969,1.4427e-11,0,
RD,0.1,1,0.2,-11.3723,1.4427e-11,0,
RD,0.1,1,0.3,-11.3338,1.4427e-11,0.00641026,
RD,0.1,1,0.4,-11.6808,1.4427e-11,0.0128505,
RD,0.1,1,0.5,-11.6151,1.4427e-11,0.0314286,
RD,0.1,1,0.6,-11.2808,1.4427e-11,0.0249169,
RD,0.1,1,0.7,-11.59,1.4427e-11,0.0766284,
RD,0.1,1,0.8,-11.4975,1.4427e-11,0.112554,
RD,0.1,1,0.9,-11.3973,1.4427e-11,0.137681,
RD,0.1,1,1,-11.8441,1.4427e-11,0.182796,
RD,0.1,2,0.1,-14.1995,1.4427e-11,0,
RD,0.1,2,0.2,-14.6708,1.4427e-11,0.000670241,
RD,0.1,2,0.3,-14.5518,1.4427e-11,0.00459559,
RD,0.1,2,0.4,-14.4529,1.4427e-11,0.0151163,
RD,0.1,2,0.5,-14.5066,1.4427e-11,0.0344828,
RD,0.1,2,0.6,-14.5205,1.4427e-11,0.03,
RD,0.1,2,0.7,-14.464,1.4427e-11,0.0673077,
RD,0.1,2,0.8,-14.3949,1.4427e-11,0.100437,
RD,0.1,2,0.9,-14.6751,1.4427e-11,0.140097,
RD,0.1,2,1,-14.7957,1.4427e-11,0.165775,
RD,0.1,3,0.1,-14.7884,1.4427e-11,0,
RD,0.1,3,0.2,-14.7736,1.4427e-11,0.00197109,
RD,0.1,3,0.3,-14.6863,1.4427e-11,0.00555556,
RD,0.1,3,0.4,-14.8788,1.4427e-11,0.0105634,
RD,0.1,3,0.5,-14.9856,1.4427e-11,0.0212465,
RD,0.1,3,0.6,-14.8449,1.4427e-11,0.0369128,
RD,0.1,3,0.7,-14.8673,1.4427e-11,0.0486381,
RD,0.1,3,0.8,-14.7952,1.4427e-11,0.0952381,
RD,0.1,3,0.9,-15.1019,1.4427e-11,0.123786,
RD,0.1,3,1,-14.6242,1.4427e-11,0.163102,
RD,0.1,4,0.1,-15.0415,1.4427e-11,0.000415973,
RD,0.1,4,0.2,-14.5931,1.4427e-11,0.00199468,
RD,0.1,4,0.3,-14.6759,1.4427e-11,0.00367647,
RD,0.1,4,0.4,-14.9827,1.4427e-11,0.00704225,
RD,0.1,4,0.5,-14.6244,1.4427e-11,0.0127841,
RD,0.1,4,0.6,-14.6747,1.4427e-11,0.0233333,
RD,0.1,4,0.7,-14.5046,1.4427e-11,0.0613027,
RD,0.1,4,0.8,-14.3319,1.4427e-11,0.106522,
RD,0.1,4,0.9,-14.7279,1.4427e-11,0.129808,
RD,0.1,4,1,-14.9978,1.4427e-11,0.187166,
RD,0.1,5,0.1,-14.7136,1.4427e-11,0,
RD,0.1,5,0.2,-14.6851,1.4427e-11,0.000673854,
RD,0.1,5,0.3,-14.9457,1.4427e-11,0.00555556,
RD,0.1,5,0.4,-14.3936,1.4427e-11,0.0141176,
RD,0.1,5,0.5,-14.6553,1.4427e-11,0.0270655,
RD,0.1,5,0.6,-15.1639,1.4427e-11,0.057047,
RD,0.1,5,0.7,-15.0132,1.4427e-11,0.0725191,
RD,0.1,5,0.8,-14.6959,1.4427e-11,0.0921053,
RD,0.1,5,0.9,-14.7661,1.4427e-11,0.13285,
RD,0.1,5,1,-14.5574,1.4427e-11,0.170213,
RD,0.1,6,0.1,-14.7051,1.4427e-11,0,
RD,0.1,6,0.2,-14.6828,1.4427e-11,0,
RD,0.1,6,0.3,-14.9884,1.4427e-11,0.00371058,
RD,0.1,6,0.4,-14.3955,1.4427e-11,0.0104895,
RD,0.1,6,0.5,-14.8369,1.4427e-11,0.0228571,
RD,0.1,6,0.6,-14.7129,1.4427e-11,0.0516667,
RD,0.1,6,0.7,-14.3497,1.4427e-11,0.075,
RD,0.1,6,0.8,-14.9688,1.4427e-11,0.0960699,
RD,0.1,6,0.9,-15.0226,1.4427e-11,0.117073,
RD,0.1,6,1,-14.7251,1.4427e-11,0.164894,
RD,0.2,1,0.1,-12.4463,1.4427e-11,0.00111773,
RD,0.2,1,0.2,-12.3472,1.4427e-11,0.0168961,
RD,0.2,1,0.3,-12.8024,1.4427e-11,0.0330435,
RD,0.2,1,0.4,-12.4506,1.4427e-11,0.100897,
RD,0.2,1,0.5,-12.6771,0.00770149,0.171978,
RD,0.2,1,0.6,-12.3005,0.113531,0.293137,
RD,0.2,1,0.7,-12.6374,0.042836,0.381579,
RD,0.2,1,0.8,-12.2691,0.0874075,0.442553,
RD,0.2,1,0.9,-12.5636,0.317408,0.489524,
RD,0.2,1,1,-12.5189,0.388738,0.551852,
RD,0.2,2,0.1,-17.1414,1.4427e-11,0.00221729,
RD,0.2,2,0.2,-17.3431,1.4427e-11,0.0137672,
RD,0.2,2,0.3,-17.2028,1.4427e-11,0.0659051,
RD,0.2,2,0.4,-17.0825,1.4427e-11,0.106576,
RD,0.2,2,0.5,-17.1089,0.0307172,0.180548,
RD,0.2,2,0.6,-17.0594,0.0561121,0.258824,
RD,0.2,2,0.7,-17.1854,0.0430058,0.362264,
RD,0.2,2,0.8,-17.0554,0.128017,0.423176,
RD,0.2,2,0.9,-17.0926,0.0708944,0.504306,
RD,0.2,2,1,-17.0791,0.141443,0.562632,
RD,0.2,3,0.1,-17.7546,1.4427e-11,0.00222387,
RD,0.2,3,0.2,-18.1538,1.4427e-11,0.00865266,
RD,0.2,3,0.3,-17.8923,0.00959155,0.0581436,
RD,0.2,3,0.4,-17.8033,1.4427e-11,0.100679,
RD,0.2,3,0.5,-17.63,0.0231045,0.167857,
RD,0.2,3,0.6,-17.6947,0.0369723,0.266993,
RD,0.2,3,0.7,-17.419,0.0644965,0.363806,
RD,0.2,3,0.8,-17.5656,0.166443,0.445299,
RD,0.2,3,0.9,-17.7839,0.110218,0.534597,
RD,0.2,3,1,-17.5929,0.337191,0.561579,
RD,0.2,4,0.1,-18.0022,1.4427e-11,0,
RD,0.2,4,0.2,-17.9635,1.4427e-11,0.00942211,
RD,0.2,4,0.3,-17.5711,1.4427e-11,0.0478723,
RD,0.2,4,0.4,-17.4908,0.0123812,0.108705,
RD,0.2,4,0.5,-17.7623,1.4427e-11,0.177778,
RD,0.2,4,0.6,-17.4448,0.0557294,0.275325,
RD,0.2,4,0.7,-17.9148,0.0547288,0.368939,
RD,0.2,4,0.8,-17.6085,0.138752,0.421702,
RD,0.2,4,0.9,-17.7433,0.198613,0.467619,
RD,0.2,4,1,-17.998,0.202833,0.536842,
RD,0.2,5,0.1,-18.1032,1.4427e-11,0.00111111,
RD,0.2,5,0.2,-17.4969,1.4427e-11,0.0104551,
RD,0.2,5,0.3,-17.5841,1.4427e-11,0.0481611,
RD,0.2,5,0.4,-17.7467,1.4427e-11,0.0955056,
RD,0.2,5,0.5,-18.0528,0.0237224,0.181267,
RD,0.2,5,0.6,-17.6676,0.0465494,0.272403,
RD,0.2,5,0.7,-17.8018,0.0322544,0.355849,
RD,0.2,5,0.8,-17.8143,0.111834,0.421186,
RD,0.2,5,0.9,-17.9602,0.229877,0.491905,
RD,0.2,5,1,-17.4959,0.108842,0.545789,
RD,0.2,6,0.1,-17.785,1.4427e-11,0.00146413,
RD,0.2,6,0.2,-17.5356,1.4427e-11,0.0124378,
RD,0.2,6,0.3,-17.9856,0.00479577,0.0544658,
RD,0.2,6,0.4,-17.5768,1.4427e-11,0.102247,
RD,0.2,6,0.5,-17.9565,0.00770149,0.178571,
RD,0.2,6,0.6,-17.6796,0.0567657,0.258497,
RD,0.2,6,0.7,-17.8689,0.0872392,0.331716,
RD,0.2,6,0.8,-18.1663,0.150771,0.407692,
RD,0.2,6,0.9,-17.8667,0.0960899,0.498571,
RD,0.2,6,1,-17.7214,0.303537,0.535263,
RD,0.3,1,0.1,-12.8957,1.4427e-11,0.0109215,
RD,0.3,1,0.2,-13.1029,0.0298753,0.0686905,
RD,0.3,1,0.3,-12.8756,0.195413,0.2,
RD,0.3,1,0.4,-13.0341,0.413686,0.341575,
RD,0.3,1,0.5,-12.8221,0.827614,0.454987,
RD,0.3,1,0.6,-12.9308,0.663544,0.512102,
RD,0.3,1,0.7,-13.073,0.825929,0.486667,
RD,0.3,1,0.8,-12.6815,0.692044,0.445607,
RD,0.3,1,0.9,-12.9309,0.667254,0.370093,
RD,0.3,1,1,-13.1198,0.547989,0.358333,
RD,0.3,2,0.1,-18.5542,1.4427e-11,0.0113091,
RD,0.3,2,0.2,-18.7521,0.0031977,0.0758045,
RD,0.3,2,0.3,-18.9543,0.0627178,0.183192,
RD,0.3,2,0.4,-18.7775,0.208346,0.336564,
RD,0.3,2,0.5,-19.2853,0.419803,0.454054,
RD,0.3,2,0.6,-18.9916,0.560996,0.513419,
RD,0.3,2,0.7,-18.9106,0.639814,0.534926,
RD,0.3,2,0.8,-18.7377,0.478477,0.519409,
RD,0.3,2,0.9,-19.0349,0.416555,0.451174,
RD,0.3,2,1,-19.1976,0.154332,0.389063,
RD,0.3,3,0.1,-20.012,1.4427e-11,0.00509511,
RD,0.3,3,0.2,-20.3384,0.00956905,0.0776457,
RD,0.3,3,0.3,-19.9429,0.0484148,0.184157,
