Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,4.23542e-05,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0.000184619,
HL,0.5,1,0.5,Rx0Tx0,2.88627e-05,
HL,0.5,1,0.5,Rx0Tx0,0.000198752,
HL,0.5,1,0.5,Rx0Tx0,3.82087e-05,
HL,0.5,1,0.5,Rx0Tx0,6.17103e-06,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,9.27298e-06,
HL,0.5,1,0.5,Rx0Tx0,0.000199715,
HL,0.5,1,0.5,Rx0Tx0,0.000133625,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,5.89805e-05,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,7.02714e-05,
HL,0.5,1,0.5,Rx0Tx0,0.000278551,
HL,0.5,1,0.5,Rx0Tx0,9.21654e-05,
HL,0.5,1,0.5,Rx0Tx0,2.33594e-06,
HL,0.5,1,0.5,Rx0Tx0,6.0326e-05,
HL,0.5,1,0.5,Rx0Tx0,0.000419205,
HL,0.5,1,0.5,Rx0Tx0,0.000369034,
HL,0.5,1,0.5,Rx0Tx0,0.000363842,
HL,0.5,1,0.5,Rx0Tx0,0.000453707,
HL,0.5,1,0.5,Rx0Tx0,0.000488785,
HL,0.5,1,0.5,Rx0Tx0,0.00225741,
HL,0.5,1,0.5,Rx0Tx0,0,
HL,0.5,1,0.5,Rx0Tx0,0.000287183,
HL,0.5,1,0.5,Rx0Tx0,0.000133148,
HL,0.5,1,0.5,Rx0Tx0,0.000282008,
HL,0.5,1,0.5,Rx0Tx0,0.000298141,
HL,0.5,1,0.5,Rx0Tx0,0.00039326,
HL,0.5,1,0.5,Rx0Tx0,0.000396862,
HL,0.5,1,0.5,Rx0Tx0,0.00121092,
HL,0.5,1,0.5,Rx0Tx0,0.000732593,
HL,0.5,1,0.5,Rx0Tx0,0.000379677,
