Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00671268,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.000250197,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00014354,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00838204,
VL,0.6,1,0.06,Rx0,0.00235782,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00117132,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0176902,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00244086,
VL,0.6,1,0.06,Rx0,0.000886835,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00413715,
VL,0.6,1,0.06,Rx0,0.00413387,
VL,0.6,1,0.06,Rx0,0.0108043,
VL,0.6,1,0.06,Rx0,0.00198083,
VL,0.6,1,0.06,Rx0,0.00995571,
VL,0.6,1,0.06,Rx0,0.00419943,
VL,0.6,1,0.06,Rx0,0.000506033,
VL,0.6,1,0.06,Rx0,0.0306473,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00268393,
VL,0.6,1,0.06,Rx0,0.000439825,
VL,0.6,1,0.06,Rx0,0.0190594,
VL,0.6,1,0.06,Rx0,0.00245751,
VL,0.6,1,0.06,Rx0,0.00193688,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0740682,
VL,0.6,1,0.06,Rx0,0.0050359,
VL,0.6,1,0.06,Rx0,0.00702823,
VL,0.6,1,0.06,Rx0,0.0149496,
VL,0.6,1,0.06,Rx0,0.0162372,
