Geometry,Freq (Hz),Range,Time Slot (s),Channel,Channel Capacity,BER,
D,0.1,1,0.1,Rx0Tx0,1.4427e-11,0,
D,0.1,1,0.1,Rx0Tx1,1.4427e-11,0,
D,0.1,1,0.1,Rx1Tx0,1.4427e-11,0,
D,0.1,1,0.1,Rx1Tx1,1.4427e-11,0,
D,0.1,1,0.1,Rx2Tx0,1.4427e-11,0,
D,0.1,1,0.1,Rx2Tx1,1.4427e-11,0,
D,0.1,1,0.1,Rx3Tx0,1.4427e-11,0,
D,0.1,1,0.1,Rx3Tx1,1.4427e-11,0,
D,0.1,1,0.1,Rx4Tx0,1.4427e-11,0,
D,0.1,1,0.1,Rx4Tx1,1.4427e-11,0,
D,0.1,1,0.2,Rx0Tx0,1.4427e-11,0,
D,0.1,1,0.2,Rx0Tx1,1.4427e-11,0,
D,0.1,1,0.2,Rx1Tx0,1.4427e-11,0,
D,0.1,1,0.2,Rx1Tx1,1.4427e-11,0,
D,0.1,1,0.2,Rx2Tx0,1.4427e-11,0,
D,0.1,1,0.2,Rx2Tx1,1.4427e-11,0,
D,0.1,1,0.2,Rx3Tx0,1.4427e-11,0,
D,0.1,1,0.2,Rx3Tx1,1.4427e-11,0,
D,0.1,1,0.2,Rx4Tx0,1.4427e-11,0,
D,0.1,1,0.2,Rx4Tx1,1.4427e-11,0,
D,0.1,1,0.3,Rx0Tx0,1.4427e-11,0.00183824,
D,0.1,1,0.3,Rx0Tx1,1.4427e-11,0.00551471,
D,0.1,1,0.3,Rx1Tx0,1.4427e-11,0.00183824,
D,0.1,1,0.3,Rx1Tx1,1.4427e-11,0.00551471,
D,0.1,1,0.3,Rx2Tx0,1.4427e-11,0.00183824,
D,0.1,1,0.3,Rx2Tx1,1.4427e-11,0.00551471,
D,0.1,1,0.3,Rx3Tx0,1.4427e-11,0.00183824,
D,0.1,1,0.3,Rx3Tx1,1.4427e-11,0.00551471,
D,0.1,1,0.3,Rx4Tx0,1.4427e-11,0.00183824,
D,0.1,1,0.3,Rx4Tx1,1.4427e-11,0.00551471,
D,0.1,1,0.4,Rx0Tx0,1.4427e-11,0.0235849,
D,0.1,1,0.4,Rx0Tx1,1.4427e-11,0.00471698,
D,0.1,1,0.4,Rx1Tx0,1.4427e-11,0.0235849,
D,0.1,1,0.4,Rx1Tx1,1.4427e-11,0.00471698,
D,0.1,1,0.4,Rx2Tx0,1.4427e-11,0.0235849,
D,0.1,1,0.4,Rx2Tx1,1.4427e-11,0.00471698,
D,0.1,1,0.4,Rx3Tx0,1.4427e-11,0.0235849,
D,0.1,1,0.4,Rx3Tx1,1.4427e-11,0.00471698,
D,0.1,1,0.4,Rx4Tx0,1.4427e-11,0.0235849,
D,0.1,1,0.4,Rx4Tx1,1.4427e-11,0.00471698,
D,0.1,1,0.5,Rx0Tx0,1.4427e-11,0.0282486,
D,0.1,1,0.5,Rx0Tx1,1.4427e-11,0.0338983,
D,0.1,1,0.5,Rx1Tx0,1.4427e-11,0.0282486,
D,0.1,1,0.5,Rx1Tx1,1.4427e-11,0.0338983,
D,0.1,1,0.5,Rx2Tx0,1.4427e-11,0.0282486,
D,0.1,1,0.5,Rx2Tx1,1.4427e-11,0.0338983,
D,0.1,1,0.5,Rx3Tx0,1.4427e-11,0.0282486,
