time,c_in,
0,0,
0,0,
0,0,
0,0,
0,0,
1,0,
1,0.09,
1,0.09,
1,0.09,
1,0.09,
1,0.09,
1,0.09,
1,0.11,
1,0.11,
1,0.11,
1,0.11,
2,0.11,
2,0.09,
2,0.09,
2,0.09,
2,0.09,
2,0.11,
2,0.11,
2,0.11,
2,0.11,
2,0.12,
3,0.12,
3,0.11,
3,0.11,
3,0.11,
3,0.11,
3,0.11,
3,0.11,
3,0.11,
3,0.11,
4,0.09,
4,0.09,
4,0.09,
4,0.09,
4,0.11,
4,0.09,
4,0.09,
4,0.09,
5,0.09,
5,0.09,
5,0.11,
5,0.11,
5,0.11,
5,0.11,
6,0.12,
6,0.12,
6,0.11,
6,0.11,
6,0.11,
6,0.11,
6,0.11,
7,0.11,
7,0.11,
7,0.12,
7,0.12,
7,0.12,
7,0.12,
7,0.11,
7,0.09,
7,0.09,
7,0.09,
7,0.09,
7,0.11,
7,0.11,
7,0.11,
7,0.11,
8,0.11,
8,0.11,
8,0.11,
8,0.11,
8,0.09,
8,0.11,
8,0.11,
8,0.11,
8,0.11,
8,0.11,
8,0.11,
8,0.09,
8,0.09,
8,0.11,
8,0.11,
9,0.11,
9,0.11,
9,0.11,
9,0.11,
9,0.11,
9,0.11,
9,0.11,
9,0.11,
9,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
10,0.11,
11,0.11,
11,0.11,
11,0.11,
11,0.09,
11,0.09,
11,0.09,
11,0.09,
11,0.09,
11,0.12,
11,0.11,
11,0.11,
11,0.11,
11,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
12,0.11,
13,0.11,
13,0.11,
13,0.12,
13,0.09,
13,0.09,
13,0.09,
13,0.09,
13,0.13,
13,0.14,
13,0.14,
13,0.14,
13,0.12,
13,0.12,
13,0.12,
13,0.12,
13,0.09,
13,0.09,
14,0.09,
14,0.09,
14,0.09,
14,0.09,
14,0.09,
14,0.11,
14,0.11,
14,0.11,
14,0.11,
14,0.09,
14,0.11,
15,0.11,
15,0.11,
15,0.11,
15,0.11,
15,0.11,
15,0.11,
15,0.11,
15,0.15,
15,0.15,
15,0.15,
15,0.15,
15,0.15,
15,0.15,
15,0.15,
15,0.15,
16,0.15,
16,0.15,
16,0.15,
16,0.15,
16,0.15,
16,0.15,
16,0.12,
16,0.12,
16,0.12,
16,0.11,
16,0.11,
16,0.11,
17,0.11,
17,0.11,
17,0.1,
17,0.1,
17,0.1,
17,0.1,
